Fecha,Producto,Categoria,Ventas_EUR,Coste_EUR
2026-01-05,Laptop Pro 15,Electrónica,1250.00,890.00
2026-01-12,Auriculares BT,Accesorios,89.99,32.50
2026-01-18,Monitor 27" 4K,Electrónica,549.00,310.00
2026-02-02,Teclado Mecánico,Accesorios,129.50,45.00
2026-02-14,Webcam HD,Accesorios,79.00,28.00
2026-02-20,Laptop Pro 15,Electrónica,1250.00,890.00
2026-03-01,Tablet Air,Electrónica,699.00,420.00
2026-03-08,Ratón Ergonómico,Accesorios,59.99,18.50
2026-03-15,Monitor 27" 4K,Electrónica,549.00,310.00
2026-03-22,Tablet Air,Electrónica,699.00,420.00
